symbol,scout,status,entry_date,last_entry_date,exit_date,qty,entry_price,exit_price,loss_dollars,loss_percent,reason
OXY,True,Confirmed loss,2026-09-14T13:32:56.036943Z,2026-09-14T13:32:56.036943Z,2026-09-21T13:43:47.998113Z,239,62.83,57.33,1314.50,8.753780041381505650167117619,Price below EMA20; MACD bearish; MACD falling; RSI weakening; Hard loss limit reached
USB,True,Confirmed loss,2026-09-14T13:33:23.939764Z,2026-09-14T13:33:23.939764Z,2026-09-21T17:17:18.312544Z,238,62.85,60.63,528.36,3.532219570405727923627684964,Portfolio replacement: USB → INTC
